decision,category,old_url,new_url,real_name_from_note,title,cancelled
keep,old show/news,/blog/2016/the-underpants-5ypj7-em9m8-l4mjh,/shows/legacy/children-of-a-lesser-god/,Children of a lesser god,Children of a Lesser God,False
keep,old show/news,/blog/2016/the-underpants-5ypj7-em9m8-l4mjh-y6c62,/shows/legacy/jesus-christ-superstar/,Jesus Christ Superstar,JESUS CHRIST SUPERSTAR,False
keep,old show/news,/blog/2016/the-underpants-5ypj7-em9m8-l4mjh-y6c62-hkpgb,/shows/legacy/pillowman/,Pillowman,The Pillowman,False
keep,old show/news,/blog/2016/the-underpants-5ypj7-em9m8-l4mjh-y6c62-hkpgb-86s8n,/shows/legacy/macbeth/,Macbeth,Macbeth,False
keep,old show/news,/blog/2016/the-underpants-5ypj7-yzws8,/shows/legacy/blithe-spirit/,Blithe spirit,Blithe Spirit,False
keep,old show/news,/blog/2021/russell-5tgd7-fbr6k,/shows/legacy/jalen-c-penn/,,JALEN C. PENN,False
keep,old show/news,/blog/2021/russell-wgwef,/shows/legacy/ashley-young/,,ASHLEY YOUNG,False
keep,old show/news,/blog/2021/tlt-wins-national-award,/shows/legacy/tlt-wins-national-award/,,TLT WINS NATIONAL AWARD,False
keep,old show/news,/blog/2021/valenzuela,/team/board-member-current-2026-may-need-to-merge/,Board member current 2026. may need to merge,"MARIA VALENZUELA, VICE PRESIDENT",False
keep,uncategorized,/blog/2022/scholarship-application,/shows/legacy/is-there-actually-a-link-that-people-can-use-for-scholarships-or-is-this-it/,"Is there actually a link that people can use for scholarships, or is this it?",Scholarship Application - All Programs,False
keep,uncategorized,/blog/2022/season-2020-2021,/shows/legacy/this-is-the-and-i-believe-only-page-for-the-20-21/,This is the  (and I believe only page for the 20-21,SEASON 2020-2021,False
keep,uncategorized,/blog/2025/grab-dinner-at-harbor-lights,/shows/legacy/grab-dinner-at-harbor-lights/,,GRAB DINNER AT HARBOR LIGHTS!,False
keep,uncategorized,/blog/donationrequest,/news/donationrequest/,,REQUEST AN AUCTION DONATION,False
keep,uncategorized,/blog/monique,/news/monique/,Current Production manager (but by the time we make this site she will be gone,"MONIQUE OTTER-JOHNSON, PRODUCTION MANAGER",False
keep,uncategorized,/blog/tag/1918-1930,/seasons/1918-1930/,1918-1930,1918-1930 — Blog,False
keep,uncategorized,/blog/tag/1930-1940,/seasons/1930-1940/,1930-40,1930-1940 — Blog,False
keep,uncategorized,/blog/tag/1940-1950,/seasons/1940-1950/,1940-1950,1940-1950 — Blog,False
keep,uncategorized,/blog/tag/1950-1960,/seasons/1950-1960/,50-60,1950-1960 — Blog,False
keep,uncategorized,/blog/tag/1960-1970,/seasons/1960-1970/,60-70,1960-1970 — Blog,False
keep,uncategorized,/blog/tag/1970-1980,/seasons/1970-1980/,Shows from 1970-80,1970-1980 — Blog,False
keep,uncategorized,/blog/tag/1980-1990,/seasons/1980-1990/,80-90,1980-1990 — Blog,False
keep,uncategorized,/blog/tag/1990-2000,/seasons/1990-2000/,1990-2000,1990-2000 — Blog,False
keep,uncategorized,/blog/tag/2000-2010,/seasons/2000-2010/,2000-2010,2000-2010 — Blog,False
keep,uncategorized,/blog/tag/2010-2011,/seasons/2010-2011/,2010-11  shows,2010-2011 — Blog,False
keep,uncategorized,/blog/tag/2010-2020,/seasons/2010-2020/,2012-2013  shows,2010-2020 — Blog,False
keep,uncategorized,/blog/tag/2011-2012,/seasons/2011-2012/,2011-12  shows,2011-2012 — Blog,False
keep,uncategorized,/blog/tag/2012-2013,/seasons/2012-2013/,2012-2013 shows,2012-2013 — Blog,False
keep,uncategorized,/blog/tag/2013-2014,/seasons/2013-2014/,2014-15  shows,2013-2014 — Blog,False
keep,uncategorized,/blog/tag/2014-2015,/seasons/2014-2015/,2014-15  shows,2014-2015 — Blog,False
keep,uncategorized,/blog/tag/2015-2016,/seasons/2015-2016/,2015-16 show,2015-2016 — Blog,False
keep,uncategorized,/blog/tag/2016-2017,/seasons/2016-2017/,underpants,2016-2017 — Blog,False
keep,uncategorized,/blog/tag/2017-2018,/seasons/2017-2018/,Rumors,2017-2018 — Blog,False
keep,uncategorized,/blog/tag/2018-2019,/seasons/2018-2019/,2018-19  show,2018-2019 — Blog,False
keep,uncategorized,/blog/tag/2019-2020,/seasons/2019-2020/,Calendar girls,2019-2020 — Blog,False
keep,uncategorized,/blog/tag/2020-2021,/seasons/2020-2021/,,2020-2021 — Blog,False
keep,uncategorized,/blog/tag/2021-2022,/seasons/2021-2022/,Terms of endearment,2021-2022 — Blog,False
keep,uncategorized,/blog/tag/2022-2023,/seasons/2022-2023/,Steel Magnolias,2022-2023 — Blog,False
keep,uncategorized,/blog/tag/2023-2024,/seasons/2023-2024/,play that goes wrong,2023-2024 — Blog,False
keep,uncategorized,/blog/tag/2024-2025,/seasons/2024-2025/,One man two guvnors,2024-2025 — Blog,False
keep,uncategorized,/blog/tag/2025-2026,/seasons/2025-2026/,da vinci code,2025-2026 — Blog,False
keep,uncategorized,/blog/tag/Caberet1415,/shows/legacy/cabaret/,Cabaret,Caberet1415 — Blog,False
keep,uncategorized,/blog/tag/ChristmasStory1516,/shows/legacy/a-christmas-story/,A christmas story,ChristmasStory1516 — Blog,False
keep,uncategorized,/blog/tag/Donation+Request,/shows/legacy/saw-a-duplicate-of-this-earlier/,Saw a duplicate of this earlier,Donation Request — Blog,False
keep,uncategorized,/blog/tag/Second+Samuel+1516,/shows/legacy/second-samuel/,Second Samuel,Second Samuel 1516 — Blog,False
keep,uncategorized,/blog/tag/SmokeyJoesCafe1516,/shows/legacy/smokey-joes-cafe/,Smokey joes cafe,SmokeyJoesCafe1516 — Blog,False
keep,uncategorized,/blog/teagan,/news/teagan/,,"TEAGAN MCMONAGLE, BOX OFFICE/SHOP",False
trash,ClubTLT,/blog/2015/club-tlt,/club-tlt/,,Club TLT,False
trash,ClubTLT,/blog/2016/like-you-like-it-presented-by-clubtlt,/club-tlt/,,LIKE YOU LIKE IT-Presented by ClubTLT,False
trash,ClubTLT,/blog/2017/club-tlt-spring-recital,/club-tlt/,,CLUB TLT SPRING SHOWCASE,False
trash,ClubTLT,/blog/2017/cyrano-de-burger-shack-a-clubtlt-summer-production,/club-tlt/,,I HATE SHAKESPEARE,False
trash,ClubTLT,/blog/2017/cyrano-de-burger-shack-a-clubtlt-summer-production-frlk2,/club-tlt/,,CYRANO DE BURGERSHACK - A CLUBTLT SHOW,False
trash,ClubTLT,/blog/2017/cyrano-de-burger-shack-a-clubtlt-summer-production-frlk2-z29c7,/club-tlt/,,YEARBOOK & OTHER SCENES- A CLUBTLT SHOW,False
trash,audition post,/blog/2015/97th-season-auditions,/auditions/,,97th Season Auditions,False
trash,audition post,/blog/2015/97th-season-auditions-1,/auditions/,,97th Season Audition Dates Announced,False
trash,audition post,/blog/2015/rabbit-hole-auditions,/auditions/,,Rabbit Hole Auditions,False
trash,audition post,/blog/2015/second-samuel-auditions,/auditions/,,SECOND SAMUEL AUDITIONS,False
trash,audition post,/blog/2015/smokey-joes-cafe-auditions,/auditions/,,Smokey Joe's Café Auditions,False
trash,audition post,/blog/2015/the-last-night-of-ballyhoo-auditions,/auditions/,,THE LAST NIGHT OF BALLYHOO Auditions,False
trash,audition post,/blog/2016/dracula-auditions,/auditions/,,DRACULA AUDITIONS,False
trash,audition post,/blog/2016/gypsy-auditions,/auditions/,,GYPSY AUDITIONS,False
trash,audition post,/blog/2016/miracle-on-34th-street-auditions,/auditions/,,MIRACLE ON 34TH STREET AUDITIONS,False
trash,audition post,/blog/2016/of-mice-and-men-auditions,/auditions/,,OF MICE AND MEN AUDITIONS,False
trash,audition post,/blog/2016/the-underpants-auditions,/auditions/,,The Underpants Auditions,False
trash,audition post,/blog/2016/vanya-and-sonia-and-masha-and-spike-auditions,/auditions/,,Vanya and Sonia and Masha and Spike Auditions,False
trash,audition post,/blog/2017/audition-master-class-with-kip-niven,/auditions/,,AUDITION MASTER CLASS WITH KIP NIVEN,False
trash,audition post,/blog/2017/auditions-for-blithe-spirit,/auditions/,,Auditions for BLITHE SPIRIT,False
trash,audition post,/blog/2017/auditions-for-exit-laughing,/auditions/,,Auditions for THE MAN WHO SHOT LIBERTY VALANCE,False
trash,audition post,/blog/2017/auditions-for-jcs,/auditions/,,Auditions for JESUS CHRIST SUPERSTAR,False
trash,audition post,/blog/2017/auditions-for-lesser-god,/auditions/,,Auditions for CHILDREN OF A LESSER GOD,False
trash,audition post,/blog/2017/auditions-for-rumors,/auditions/,,Auditions for RUMORS,False
trash,audition post,/blog/2017/auditions-for-seussical,/auditions/,,Auditions for SEUSSICAL,False
trash,audition post,/blog/2017/auditionspillow,/auditions/,,Auditions for THE PILLOWMAN,False
trash,audition post,/blog/2018/auditions-for-macbeth,/auditions/,,Auditions for MACBETH,False
trash,audition post,/blog/2018/auditionsbellbookcandle,/auditions/,,"Auditions for BELL, BOOK AND CANDLE",False
trash,audition post,/blog/2018/auditionsforeigner,/auditions/,,Auditions for THE FOREIGNER,False
trash,audition post,/blog/2018/auditionsveteransday,/auditions/,,Auditions for THE VETERANS DAY PROJECT,False
trash,audition post,/blog/2018/calendarauditions,/auditions/,,Auditions for CALENDAR GIRLS,False
trash,audition post,/blog/2018/dollshouseaudition,/auditions/,,Auditions for A DOLL'S HOUSE,False
trash,audition post,/blog/2018/dollshouseaudition-jpanj,/auditions/,,Auditions for A LITTLE NIGHT MUSIC,False
trash,audition post,/blog/2018/lauraauditions,/auditions/,,Auditions for LAURA,False
trash,audition post,/blog/2018/lauraauditions-af84x,/auditions/,,Auditions for HAY FEVER,False
trash,audition post,/blog/2018/scroogeaudition,/auditions/,,Auditions for SCROOGE,False
trash,audition post,/blog/2019/choruslineaudition,/auditions/,,Auditions for A CHORUS LINE,False
trash,audition post,/blog/2019/choruslineaudition-rr6em,/auditions/,,Auditions for A CHORUS LINE Remount,False
trash,audition post,/blog/2019/evildeadauditions,/auditions/,,Auditions for EVIL DEAD: THE MUSICAL,False
trash,audition post,/blog/2019/holmesauditions,/auditions/,,Auditions for HOLMES FOR THE HOLIDAYS,False
trash,audition post,/blog/2019/holmesauditions-nf2bd,/auditions/,,Auditions for 'TWAS THE NIGHT BEFORE CHRISTMAS,False
trash,audition post,/blog/2019/shatteringauditions-5n88x,/auditions/,,Auditions for SHATTERING,False
trash,audition post,/blog/2019/sophieauditions,/auditions/,,Auditions for SOPHIE,False
trash,audition post,/blog/2019/termsaudition,/auditions/,,Auditions for TERMS OF ENDEARMENT,False
trash,audition post,/blog/2019/termsaudition-8fkje,/auditions/,,Auditions for THE MANCHURIAN CANDIDATE,False
trash,audition post,/blog/2020/hanukkahauditions,/auditions/,,Auditions for HANUKKAH LIGHTS IN THE BIG SKY (VIRTUAL READING),False
trash,audition post,/blog/2020/pageauditions,/auditions/,,"Auditions for SKIN & BUENAS NOCHES, MAMA (PAGE TO SCREEN READINGS)",False
trash,audition post,/blog/2021/rewildaudition,/auditions/,,Auditions for ReWild (PAGE TO SCREEN READING),False
trash,audition post,/blog/springawakeningauditioninfo,/auditions/,,SPRING AWAKENING AUDITION INFORMATION,False
trash,board profile,/blog/board/em,/news/,,EM PIRO,False
trash,board profile,/blog/board/sam,/news/,,SAM IZENMAN,False
trash,category index,/blog/category/98th+Season,/news/,,98th Season — Blog,False
trash,category index,/blog/category/Auditions,/news/,,Auditions — Blog,False
trash,category index,/blog/category/DEI,/news/,Do we have a dei section on the page or is this just an old post?,DEI — Blog,False
trash,category index,/blog/category/Main,/news/,,Main — Blog,False
trash,category index,/blog/category/Now+Playing,/news/,,Now Playing — Blog,False
trash,category index,/blog/category/Other+Shows,/news/,,Other Shows — Blog,False
trash,category index,/blog/category/Other+Theatre+Shows,/news/,,Other Theatre Shows — Blog,False
trash,category index,/blog/category/Sticky,/news/,,Sticky — Blog,False
trash,covid notice,/blog/2019/covid19,/news/,,COVID-19 (Coronavirus) Update,False
trash,covid notice,/blog/2019/covid19-38xd9,/news/,,COVID-19 (Coronavirus) Update,False
trash,covid notice,/blog/2022/steelcovid,/news/,,STEEL MAGNOLIAS POSTPONEMENT,False
