old_url,new_url,real_name,match_score,guessed_folder
/blog/2015/picasso-at-the-lapin-agile,/shows/legacy/picasso-at-the-lapin-agile/,Picasso at the lapin agile,0,
/blog/2016/the-underpants-5ypj7-em9m8-l4mjh-y6c62-hkpgb,/shows/legacy/pillowman/,Pillowman,0,
/blog/2015/rabbit-hole,/shows/legacy/rabbit-hole/,Rabbit hole,0,
/blog/2016/the-underpants-5ypj7,/shows/legacy/rumors/,Rumors,0,
/blog/tag/Donation+Request,/shows/legacy/saw-a-duplicate-of-this-earlier/,Saw a duplicate of this earlier,0,
/blog/2015/scrooge-the-musical,/shows/legacy/scrooge/,Scrooge,0,
/blog/2015/second-samuel,/shows/legacy/second-samuel/,Second Samuel,0,
/blog/tag/Second+Samuel+1516,/shows/legacy/second-samuel/,Second Samuel,0,
/blog/2016/the-underpants-5ypj7-em9m8,/shows/legacy/seussical/,seussical,0,
/blog/2015/smokey-joes-cafe,/shows/legacy/smokey-joes-cafe/,Smokey joes cafe,0,
/blog/tag/SmokeyJoesCafe1516,/shows/legacy/smokey-joes-cafe/,Smokey joes cafe,0,
/blog/2015/steele-magnolias,/shows/legacy/steel-magnolias/,Steel Magnolias,0,
/blog/2022/season-2020-2021,/shows/legacy/this-is-the-and-i-believe-only-page-for-the-20-21/,This is the  (and I believe only page for the 20-21,0,
/blog/2021/tlt-wins-national-award,/shows/legacy/tlt-wins-national-award/,TLT WINS NATIONAL AWARD,0,
/blog/2015/to-kill-a-mockingbird,/shows/legacy/to-kill-a-mockingbird/,To kill a mockingbird,0,
/blog/2016/the-underpants,/shows/legacy/underpants/,underpants,0,
/blog/2015/vanya-sonia-masha-and-spike,/shows/legacy/vanya-and-sonia-and-masha-and-spike/,vanya and sonia and masha and spike,0,
/blog/2015/the-weir,/shows/legacy/weir/,weir,0,
